,tweet,asal_tweet
70,Tetanggaku dengan bangga bercerita bahwa dia tidak percaya adanya virus corona Hmm baiglah,"Yogyakarta, Indonesia"
71,Disini bebas mamah gk ada corona gk ada virus,
72,Tumaradu koum sisolkot Taparinggas ma mamasu tangan Anso terhindar hita sian Virus Corona,
73,Tenaga medis dari Makasar Sulawesi Selatan meninggal dunia akibat terinfeksi Virus Corona,
74,3 jenis masker yang tidak efektif cegah penularan virus Corona,
75,kaya scodelario corona virus,
76,3 Jenis Masker Ini Disebut Tak Efektif Cegah Penularan Virus Corona,"Kutowinangun, Indonesia"
77,ossas Super spreader tu host yg bawa super bugs corona virus yg dh mutated tu,Malaysia
78,Pokiman poopbutt compilation 6k 5g corona virus vizio hd tv,penis poop bruh
79,Supaya benar benar bersih dari Corona Virus Disease 19 negara di seluruh dunia harus diformat HUTRIKE75 PakaiMasker,Indonesia
80,vuga umubare wabanduye corona virus muri Angola,
81,3 Jenis Masker Ini Disebut Tak Efektif Cegah Penularan Virus Corona PutusPenyebaranCovid19 HumasPolresKebumen,
82,Seorang Dokter Meninggal Dunia Akibat Virus Corona,
83,Terlepas dari konspirasi atau apalah itu corona virus tetaplah wabah yg berbahaya bisa menyerang kesehatan kita,Rembang-Central Java
84,3 Jenis Masker ini yang tidak efektif Cegah Penularan Virus Corona,
85,Video seorang kakek yang mengaku dapat membasmi virus Corona atau COVID 19 ramai diperbincangkan di media sosial Kuningan,JAKARTA
86,Yg masih menyepelekan virus corona ini tlg dong sadar udah berapa lama dan mau berapa lama lagi kita gini this isn t a joke frrr,btsland
87,Batir Aja Kelalen Cuci tangan ya men ora ketempelan virus Corona,
88,Blague Corona Virus Covid 19 Russia vs USA,Haiti
89,Sb esy hi kehty,"Torrijo de la Cañada, España"
90,Sekali merdeka tetap merdeka mari kita bersama sama bersatu memerangi wabah virus corona dan bangkit dari krisis ekonomi,Nusantara
91,Ta kebai dgn virus corona tu jika na my nyesai ta guna,perai
92,Waspada virus Corona Bahaya covid19,
93,Penyemprotan Antiseptic pencegahan Virus Corona Covid 19 di Mako Polsek Tiga Juhar,
94,Rusia sudah mendaftarkan vaksin virus Corona apakah kita harus beli juga seperti punya Sinovac,Surabaya
95,Stop Virus Corona dengan jaga kebersihan tangan AyoBiasakanCuciTangan,
96,Cuci Tangan stoppenyebaran Virus Corona,
97,Stop Corona Virus Wajib Pakai Masker,
98,Semoga Indonesia makin sukses dan dibebaskan dari virus Corona Amin,"Magelang, Jawa Tengah"
99,Yuk mari kita tiru apa yang sudah TP PKK lakukan agar penyebaran virus corona dapat di hentikan GebrakMasker,
100,Patut di contoh nih apa yang di anjurkan pak Jokowi membagikan masker buat melawam virus corona GebrakMasker,
101,Patut di contoh nih apa yang di anjurkan pak Jokowi membagikan masker buat melawam virus corona GebrakMasker,Indonesia
102,Jateng merdeka dari wabah pandemi virus corona kebodohan dan kemiskinan merdeka,"Banjarmasin, Indonesia"
103,Yuk mari kita tiru apa yang sudah TP PKK lakukan agar penyebaran virus corona dapat di hentikan GebrakMasker,
104,Patut di contoh nih apa yang di anjurkan pak Jokowi membagikan masker buat melawam virus corona GebrakMasker,
105,Waspada Penyebaram Virus Corona Lebih Baik Mencegah daripada Tersakiti,
106,Patut di contoh nih apa yang di anjurkan pak Jokowi membagikan masker buat melawam virus corona GebrakMasker,
107,Yuk mari kita tiru apa yang sudah TP PKK lakukan agar penyebaran virus corona dapat di hentikan GebrakMasker,
108,Yuk mari kita tiru apa yang sudah TP PKK lakukan agar penyebaran virus corona dapat di hentikan GebrakMasker,
109,Yuk mari kita tiru apa yang sudah TP PKK lakukan agar penyebaran virus corona dapat di hentikan GebrakMasker,
110,Patut di contoh nih apa yang di anjurkan pak Jokowi membagikan masker buat melawam virus corona GebrakMasker,
111,Patut di contoh nih apa yang di anjurkan pak Jokowi membagikan masker buat melawam virus corona GebrakMasker,
112,Yuk mari kita tiru apa yang sudah TP PKK lakukan ini agar penyebaran virus corona dapat di hentikan GebrakMasker,
113,Yuk mari kita tiru apa yang sudah TP PKK lakukan agar penyebaran virus corona dapat di hentikan GebrakMasker,
114,Patut di contoh nih apa yang di anjurkan pak Jokowi membagikan masker buat melawam virus corona GebrakMasker,
115,Patut di contoh nih apa yang di anjurkan pak Jokowi membagikan masker buat melawam virus corona GebrakMasker,
116,Yuk mari kita tiru apa yang sudah TP PKK lakukan agar penyebaran virus corona dapat di hentikan GebrakMasker,
117,Patut di contoh nih apa yang di anjurkan pak Jokowi membagikan masker buat melawam virus corona GebrakMasker,"Kota Medan, Sumatera Utara"
118,Patut di contoh nih apa yang di anjurkan pak Jokowi membagikan masker buat melawam virus corona GebrakMasker,
119,Yuk mari kita tiru apa yang sudah TP PKK lakukan agar penyebaran virus corona dapat di hentikan GebrakMasker,
120,Dia ga singgung tentang virus corona dan protokol kesehatan sama sekali seolah olah virus itu udh gone dari sana,Medan Indonesia
121,Mari sama sama kita lawan Penyebaran virus corona COVID 19 lawancorona dirumahaja,
122,Mari sama sama kita lawan Penyebaran virus corona COVID 19 lawancorona dirumahaja,
123,Mari sama sama kita lawan Penyebaran virus corona COVID 19 lawancorona dirumahaja,
124,Mari sama sama kita lawan Penyebaran virus corona COVID 19 lawancorona dirumahaja,
125,N tem corona virus certuu,055 por ai
126,Ini serius mba Saliva tes buat deteksi corona virus,"Akashi-shi, Hyogo Japan"
127,Lmaoooo we dey do odun elegun ni corona virus da nkan le,Astro World
128,Otoritas Inggris melaporkan lebih dari 1 400 kasus virus Corona dalam sehari di wilayahnya Inggris,Jakarta
129,tou suno Shukriya corona virus,bhar main
130,Corona virus pendemic,Algeria 
131,Me Kya tum corona virus ho Ex Lol No why Me Kyuki tum ek insaan se dusre insaan ke paas bahot jaldi chali jaati ho 3,"Kolkata, India"
132,corona diye bir virus cikmis,
133,silva14 corona virus amgkkkk,"Varsóvia, Polónia ou Luna🌙"
134,gula jawa ky virus corona manisny gada obat duhh,
135,Jab ki 10or 12class k bacho ko he corona virus lag hua hai toh kise exam dega,
136,Eric Abidal saat ini diisolasi karena melakukan kontak dengan Umtiti sebagai bentuk pencegahan Dia dites negatif virus Corona sport,
137,Ap to corona virus se b badi virus ho ap ka corona kya bigaad sakta h,
138,jangankan virus corona virus garuda aja aku makan apalagi yang rasa rumput laut,
139,basri Mana corona virus ni Tak buat kerja amik nyawa dorg ni ke,Bangsar Bubble
140,Gileee Balik jamberapa nik Tar kujemput ahaha Meanwhile corona virus still,Indonesia
141,Modi ka jhoot Corona virus se bhi zyada khatarnaak hai Be careful my fellow countrymen,
142,Mutlb kisi ka katny wala hyy,"Torrijo de la Cañada, España"
143,Jika pemerintah ingin pertumbuhan ekonomi nasional mencapai 5 5 persen di 2021 penanganan virus corona tahun ini harus maksimal,
144,Berita hangat UU di Indonesia positif virus corona,"Banten, Indonesia"
145,Selain virus corona sekarang juga lagi musim lampu tumbler,"Cikampek, Karawang"
146,Ketika teman satu kantor kamu positif corona virus dan kamu tau dia terakhir kontak dengan mu,Indonesia
147,Ye corona virus ki wajah se 6 saal se gym nahi ja paya me,Mumbai
148,90 Ayooo kita Fuckin fuckin virus Corona biar cepat musnah,"Los Angeles, CA"
149,Ab toh lit cricketers ne bhi retirement leli Yeh corona virus ko kis baat ki akad hai,India
150,Mari kita sama sama lawan penyebaran virus corona Covid 19,
151,Mari kita sama sama lawan penyebaran virus corona Covid 19,
152,Mari kita sama sama lawan penyebaran virus corona Covid 19,
153,Says berdoa agar pemerintah dapat menyelesaikan wabah virus covid19 corona ini Dan menemukan penawarnya Aamiin,"Kota Surabaya, Jawa Timur"
154,otak gw skrg kalo ada corona ingetnya virus,
155,Kk ku namanya corona dulu unik sekarang jd nama virus,Di bumi
156,Kes baru corona virus dah sampai puluhan bukan belasan atau satu digit lagi Please beware CoronaVirusUpdates,
157,virus corona udah terlanjur nyaman di bumi ya ternyata ExaARMY ExaBFF twt,OT7♡
158,Sahi Baba hawezi tingisha Kenya Kama zamani 2020 Corona Virus imetutingisha already We are tayad,"Nairobi, Kenya"
159,Corona virus wack,"Puerto Rico, USA"
160,Jadi kebayang Pak Maning kan gua Ayo cari panjang gelombang dari molekul RNA virus corona,Harvest Town
161,Virus corona mengajarkan kita untuk berjaga jarak karena kalau terlalu dekat nanti terlanjur,Indonesia
162,Jangan jangan virus corona ini ciptaan thanos untuk mengurangi setengah populasi bumi,
163,Semoga corona virus cepet hilang hikd ExaARMY ExaBFF twt,
164,KE COVID 19 na Corona virus Utaleta ama nikujie,"Nairobi, Kenya"
165,Corona bhanda ni darlagdo virus le marlan hai Tweeter asmi virus naam diye,purbanchal 
166,ayok jalan2 sama aku tpi kalo virus corona udah bner2 gaada di dunia ini,planet mars
167,VIRUS CORONA BISA DI SANTET YA MBAH HEHEHE,Agung Raya 2 Lenteng Agung Jak
168,Sekarang bukan musim virus corona tapi musim nikahan,
169,Swilo leswi vari swi pfuna ku penga kati mhaka tonjhe hi mkhukhwani khuhlwani yonjhe hi corona virus,"Gyn ka mhlava wellem/,tembisa "
170,Saya dukung Pak semoga cepat berakhir virus Corona ini,"Magelang, Jawa Tengah"
171,Tapi emg dulu pernah ada berita kalau virus corona itu bakal mati kalau kena alcohol,"Bogor, Indonesia"
172,Reposted from bali Marijo torang jang baku dekat biar se putus tu virus corona,Denpasar
173,Reposted from bali Mari jaga jarak atau physical distancing untuk memutus penyebaran virus corona,Denpasar
174,Perpus tutup Ada kawan kita yang positif covid katanya Doa yang terbaik untuk dia,Pertigaan Revolusi
175,Ini vaksin covid kpn jadinya ya pgn liburannn,
176,Sebelum covid ni muka bae bae aja wlopun keluar rmh terus giliran dirumah aja muncul jerawat yg makin hari makin nambah,
177,covid g boleh,
178,Mari rayakan Kemerdekaan Indonesia dengan mentaati protokol kesehatan agar terhindar dari penjajahan Covid 19,
179,iya betul covid itu kotrasepsi,Kota Banda Aceh
180,Mari rayakan Kemerdekaan Indonesia dengan mentaati protokol kesehatan agar terhindar dari penjajahan Covid 19,
181,Anak adab ada yg kena covid,Pertigaan Revolusi
182,njrottt gapada inget covid ni orang komplek,Indonesia
183,alasannya si sejauh ini karena efek covid bang,Bekasi
184,chin chin chilla ke kajari sunay covid covid kaua bhi dholak bajay areie wah wah arei wah wah,Mumbai
185,Perangi covid,"Pulau Babi, Selangor"
186,Mpe hadithi za COVID 19 huyo mazaa na namna Magufuli alivyoshiriki Almost alitukumbusha kurud kwa Mungu,
187,tunggu i habis spm and covid dah clear i cari u guys dulu,한 / ENG / Malay
188,Haja Covid kk EstamosComDeltan,Brasil
189,sering sblm covid keluarga gue kebanyakan dijakarta tapi ngga pernah pake kereta,Neverland
190,hani HI GUYS JAUHI COVID,
191,Kan still ada covid ni kan so kalau pergi holiday boleh ke mandi swimming pool dia,Malaysia
192,Pata nahi kab Amit Shah ji kamaan apne haath me lenge UP covid situation ki,"Manama,Bahrain🇧🇭 Gurgaon🇮🇳"
193,Cuek aja sama covid yg penting feed instagram pas 17 agustus lagi sama merah putih di gunung,
194,selamat 6 bulan covid di indonesia semoga cepetan putus ya kita,"Bekasi, Jawa Barat"
195,Kok ya udah tau makin melonjak ini yg covid orang2 goblok ini egois bgt Karma ya allah pls lgsg kenain azab,Funeral
196,Ternyata banyak yg jerawatan ya jaman covid gini Emg karena masker,
197,Selamat bertemu kembali bulan depan di RS rujukan covid,"Yogyakarta, Indonesia"
198,Gimana KIBRA angkatan COVID udah pada siap kan buat besok,"Lebak, Banten"
199,Bersama cegah penyebaran Covid 19,
200,Bersama cegah penyebaran Covid 19,
201,Bersama cegah penyebaran Covid 19,
202,Bersama cegah penyebaran Covid 19,
203,Bersama cegah penyebaran Covid 19,
204,Bersama cegah penyebaran Covid 19,
205,Covid TrumpVirus,BeidouHolyTibet
206,BTSimpact Gaada kak covid soalnya,"East Java, Indonesia"
207,Bersama cegah penyebaran Covid 19,
208,Bersama cegah penyebaran Covid 19,
209,Suwe ra latihan bos mergo covid,"Sukoharjo, Indonesia"
210,Bersama cegah penyebaran Covid 19,
211,Tim Gabungan Peneliti Obat Baru Covid 19 Serahkan Hasil Uji Klinis Fase 3,
212,rhrd nunggu reda hubungan tragis mbak corona dan mas covid yee heheheehh,
213,Seandainya panjat pinang hadiahnya serum covid pasti banyak yang mau ikutan,
214,Aku Kalo lagi ga covid,yk tp lg di tgr
215,Benefit kantor saya bisa dateng siang doang selama covid,"ÜT: -6.274527,106.987223"
216,Fikir covid jela fit,
217,ibu suruh ajak member rapat datang rumah cam nak makan makan tapi aku nanti la ibu covid ni hahahaha,
218,aing takut ada yang covid kermh,
219,Kemerdekaan tahun ini untuk teman2 Nakes yg berjuang di RS bersama pasien2 covid 19,Tangerang - SMG - MGL - DKI
220,Ditengah Pandemi Covid 19 apakah Pilkada hal yg urgen apalagi dana pilkada cukup besar silahkan kasih komentar,"Jakarta Timur, DKI Jakarta"
221,wkwkwk klo dah gk ada covid sama ada team sih gas,Dreamland
222,Dikekang covid Jadi gabisa kemana mana,"Tangerang, Indonesia"
223,Sepertinya Anjuran pencegahan Covid 19 sekarang hanya sebagai kalimat baku sbg pemanis yg harus ada di setiap media promosi,jakarta
224,syahee Jauhnyaaa tapi mmg plan nk berjalan ke sana pun tggu semua Covid dh redaa baru pi sana,P-1485 
225,Iya untung ya Bener2 bikin keruh covid,shadow
226,Tahan mol masih covid,"Yogyakarta, Indonesia"
227,Lambakan sifu2 saham post covid sekarang Siap ada yang charge per night untuk webinar insights dia,
228,Penambahan kasus baru Covid 19 di Indonesia dirumahaja dirumahajadulu jagajarak bnpb COVID19,Banjarbaru
229,Di Bali banyak banget yang enggak percaya Covid Apalagi sejak Jerinx dipenjara Mereka percaya itu usaha pemerintah nutupin Kebenaran,"Denpasar, Bali "
230,Lalu kalau mau naik kreta apa perlu test covid dlu dan lampirkan surat Test apa saja ya Apa bs lakukan test di stasiun,Jakarta
231,ini zona merah covid ato yg laen,"Bandung, Jawa Barat"
232,COVID 19 kok ngumpul2,
233,Sedangkan Di masa pendemi uang fisik bs jd sumber penularan covid 19 Jatim siap mengawal jika ada terobosan kebijakan,
234,Raharjo Semoga Jawa Tengah dan Indonesia cepat terbebas dari pagebluk covid Aamiin DoaNetijen,"Gresik, Jawa Timur"
235,Kan covid quarantine lagian bareng kmu juga,
236,Harusnya dah lulus aku kalo gada covid,Banjarmasin
237,seandainya covid gada bisa jadi malem ini aku bukan disini waas duh cape selama ieu teh bukan rezeki mereun lah angkatan sekarang mah,
238,Covid hmm sasaran empuk,
239,Huhuhuuu sabar ya kak mine tapi emg covid sangat membuat banyak hal gabisa di lakuin woilahh menangis sebell,
240,hayyy covid go away gs2 q n mksama kasoy,ʎosɐʞ ıɯ ǝʌoןɯɯ ı
241,KUKERTA MAHASISWA USTJ KELOMPOK IX THEMA BERSAMA BERSATU MELAWAN COVID 91 KITA PASTI BISA,Indonesia
242,bisa bayangin ga kalo hal serupa terjadi terkait berita COVID 19 Percaya penuh sama media hahahaha,"Jakarta Barat, DKI Jakarta"
243,Aduhhh covid meningkat kes hari ni Next week dah la ada trip Hmmmm,
244,Raharjo Selamat datang Indonesia Maju Selamat datang Jawa Tengah Maju Selamat tinggal pagebluk covid 19,"Jawa Tengah, Indonesia"
245,kw19 Hendaklah bersama pemerintah selamatkan Indonesia dari covid 19 koruptor,
246,Skripsian lagi covid gini tu emg bener si sidangnya mudah krn online jadi gk trlalu deg2an apa gmn tapi gilaaa bimbingannya itu lho,West-central-east ind
247,ayoo kita pasti bisa harusnya maknanya kita bisa menang atas covid bukan bisa mencapainya huh sedih,
248,Data sebaran Covid 19 di Murung Raya 16 Agustus 2020 Pukul 15 00 Wib,"Puruk Cahu, Indonesia"
249,Awuuu kodw Covid uqalekisiwe syabonga nkozsan ke sbuke amaZothaniya oNyazi,"Durban, South Africa"
250,SEMBUHLAH NEGERIKU AKU RINDU NEGERIKU YANG BAR BAR SEPERTI SEBELUM COVID 19 MENYERANG,"Malang, Jawa Timur"
251,anestesi Setuju nian dok btw obat covid dah ditemukan di indonesia kabarnya,
252,Dulu di twitter rame kalau 17 Agustus ada upacara online Lalu sekarang upacara online beneran gara gara covid Lucu ya,
253,Covid covid tai anjing MERDEKA,Karangloisnade Malang
254,Belom jd ngambil krn covid huhuhu,
255,Covid 19 yeayyy banyak juga yang minat untuk coba virus ku,"Yogyakarta, Indonesia"
256,itu dia salah sangka bukan disuntik vaksin covid 19 tapi disuntik jamu buyung upik,bhironx.ardi@gmail.com
257,Pak ini lapor kemana ya Akan diadakan pasar malam di tengah pademi covid Bukannya berbahaya,SoondingiesTaeyongFInjeolmies
258,PA dekat tempat kerja papa ada simptom covid and waiting for a covid test result haih takut pulak aku,Dalam Gua
259,Orang2 bisa2nya ya se enjoy itu nikmatin liburan di tengah covid begini,Indonesia
260,Kayanya mereka nganggep kalau covid 19 ga berbahaya jd nyantai,Indonesia
261,Yaampun norak bgtt aku dan keren sih kawinan slm covid protokolnya ok,Supermom Princess♥
262,Plot perkembangan wabak covid 19 melanda dunia dan mereka masih berdebat tentang isu perkauman dan jawatan,kuala lumpur
263,Onok nder tp ga serame pas gaada covid,Isla nublar
264,Bet 100 dolla seh chump naah guh seh a covid kill him bredda,"Jamaica,Toronto. "
265,lulus jalur covid,tweeted by bot
266,COVID 19 jangan ambil mudah 25 kes baru 16 kes import 9 kes tempatan 28 sembuh 0 kematian,"Kota Baharu, Kelantan"
267,Betul Tapi Covid crisis lebih teruk uwaa,Selangor D.E
268,Melihat teman teman main komplek ku pada liburan mulu aku iri Pengen liburan juga tapi dompet lagi tipis plus covid juga huhuhu,Anywhere but here
269,Sendiri dan sepi di Pantai Pangandaran solusi agat terhindar Covid 19,
270,shop indonesia mau jd top global covid po,Bandung
271,sejujurnya makin stress karena covid ini capek banget,
272,Ya allah emang sdh nga takut lg ya sama covid 19 sedih saya liatnya,"Kota Medan, Sumatera Utara"
273,Iya gk terasa kita hidup berdampingan dengan virus covid 19,
274,Demam kt kedah ni semua org cakap covid asal demam je covid why Demam sebab cuaca i know laa i stay at home je tahu dok,
275,Covid mulu bosen tau Terlalu fokus ke covid dan covid Pfft,
276,Kocak2 rep nya coba ki kek nya orang2 makin pada kreatif sejak covid,"Jakarta, INA"
277,Sedi bet temen keguguran jd perawat pas covid gini plus dia hamil muda rentan bgt,
278,Mutasi D614G COVID 19 Dikesan Di Malaysia pakaipelitupmuka kekalkanjarak1meter kitajagakita,"Kota Bharu, Kelantan"
279,Harapan saat ini Jateng bebas covid 19,Jepara
280,ngga ada masih covid belom berani ngadain,
281,ada yg covid di lingkungan gua,
282,Haii aku covid,EXO PLANET
283,Covid posting day 1 NPO tab break hoga jab khana ayega,somewhere among stars we gazed
284,COK AKU JANE YO WEGAH DADI MABA PAS COVID NGENE ASU,"Jawa Tengah, Indonesia"
285,Gak di jalan Raya gak di Gunung macettttttt orang2 super kebal covid,
286,Menari bukan karena bahagia Tp gila diinjak terus sama Covid,
287,Terpaksa tolak asrama sebab tak mampu nak ikut SOP yang terlalu ketat due to covid 19,"Kuala Terengganu, Terengganu"
288,Tanpa sadar covid 19 membuat kita menjadi ansos,
289,Tak tahu weyh covid pun teruk Btw jangan ingat aku tak tahu apa jadi kat setapak haha Moga semua selamat ye,
290,memuncaki klasemen positif covid,batas bawah troposfer
291,covid b lyke dah lah mlz ajg wowkwowk,Yogyakarta 20+
292,Berdoa semoga tak membawa wabah dan berupaya maksimal laksanakan protokol kesehatan Satgas covid 19 gimana,"Cibugel, Indonesia"
293,27 Silver covid cup Jeet ke ud rha hai rolly,
294,Angka2 Covid di NKRI sdh tidak berpengaruh apa2 Kak Kejadian juga macet berat di Puncak Bogor Miris liatnya,"Jakarta Selatan, DKI Jakarta"
295,YaAllah duit tgl selembar saldo kosong mau nyari kerja susah lagi covid jadi keenakan rebahan,
296,Obat Covid 19 atau oplosan obat,"Gambir, Indonesia"
297,Resepsi Pernikahan Sasaran Satgas Covid 19 Patroli Penerapan Protokol Kesehatan BeritaSampit,"Kalimantan Tengah, Indonesia"
298,Di taiwan kasus covid udah mulai surut org2 mulai berani lepas masker kabar yg baik ciwi ciwinya pada seger2 pula enak diliat wkwkw,Taipei City
299,Wow today is a busy day for the seiyuus macam dah tkde covid eh,🇸🇬
300,haruto ganteng nya covid bgt alias ga ada obat,selective ⋆ multi
301,lomba diem di rumah dan menghindar dari covid 19,
302,Sp dah 12 kes dah covid ni huhu,"SP, KD, MY."
303,Pengen main ke IKJ belum kesampaian gara2 covid,
304,merasa paling kasian banget kau di dunia ini sampe covid pun kau kambing putih kan,Indonesia
305,turu mangan enak ng omah ora enek covid ae wegah untel2 an opo meneh enek covid,"Jakarta Capital Region, Indone"
306,Bulan merdeka tapi covid covid covid,"Batu, Selangor"
307,Guys yg liat ini plis apakah ada yg besok rumahnya ngerayain 17an tapi berbeda karena Covid,Deep inside my heart
308,2 Thiey covid bii,
309,Rapat rapat 17 an udah tau covid yallah mending molor,
310,PKPP Rakyat Malaysia jangan lupa kita masih belum menang Terus patuhi SOP yang ditetapkan bagi memutuskan rantaian jangkitan Covid 19,"Kuala Lumpur, Wilayah Persekut"
311,Update Data Pandemi Covid 19 di Kabupaten Bandung Minggu 16 Agustus 2020,"Bandung, Jawa Barat"
312,covid ternyata bisa bikin org makin ah sudahlah,"Tangerang, Banten"
313,idhamAB Revenue lain tak dapat Sebab covid kan,You Dont Have To Know
314,Kerja kerja kerja covid,Indonesia
315,Oh karena pandemi yaa emang kasus covid didaerah km masih tinggi,Jakarta
